key_0,lineloc,stage_filtered,z,underwater,z_normalized,nice_datetimes
2021-06-16 18:00:00,346.0,,315.67601103556103,0.0,0.7305398907367362,Jun 16
2021-06-16 21:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 16
2021-06-17 00:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 17
2021-06-17 03:00:00,353.0,,315.3441526797566,0.0,0.39868153493227965,Jun 17
2021-06-17 06:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 17
2021-06-17 09:00:00,346.0,,315.67601103556103,0.0,0.7305398907367362,Jun 17
2021-06-17 12:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 17
2021-06-17 15:00:00,,,,,,Jun 17
2021-06-17 18:00:00,344.0,,315.77082770864797,0.0,0.8253565638236751,Jun 17
2021-06-17 21:00:00,343.0,,315.8182360451915,0.0,0.8727649003672013,Jun 17
2021-06-18 00:00:00,343.0,,315.8182360451915,0.0,0.8727649003672013,Jun 18
2021-06-18 03:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 18
2021-06-18 06:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 18
2021-06-18 09:00:00,344.0,,315.77082770864797,0.0,0.8253565638236751,Jun 18
2021-06-18 12:00:00,340.0,,315.96046105482196,0.0,1.0149899099976665,Jun 18
2021-06-18 15:00:00,,,,,,Jun 18
2021-06-18 18:00:00,344.0,,315.77082770864797,0.0,0.8253565638236751,Jun 18
2021-06-18 21:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jun 18
2021-06-19 00:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jun 19
2021-06-19 03:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 19
2021-06-19 06:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 19
2021-06-19 09:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jun 19
